site,imperv_class,imperv_freq
D13_MOAB_R1_P1_v2,5,1937
D13_MOAB_R1_P1_v2,10,329
D13_MOAB_R1_P1_v2,15,120
D13_MOAB_R1_P1_v2,20,145
D13_MOAB_R1_P1_v2,25,148
D13_MOAB_R1_P1_v2,30,120
D13_MOAB_R1_P1_v2,35,40
D13_MOAB_R1_P1_v2,40,30
D13_MOAB_R1_P1_v2,45,22
D13_MOAB_R1_P1_v2,50,5
D13_MOAB_R1_P1_v2,55,0
D13_MOAB_R1_P1_v2,60,0
D13_MOAB_R1_P1_v2,65,0
D13_MOAB_R1_P1_v2,70,0
D13_MOAB_R1_P1_v2,75,0
D13_MOAB_R1_P1_v2,80,0
D13_MOAB_R1_P1_v2,85,0
D13_MOAB_R1_P1_v2,90,0
D13_MOAB_R1_P1_v2,95,0
D13_MOAB_R1_P1_v2,100,0
