site,imperv_class,imperv_freq
D13_NIWO_C1_P1_v2,5,1715
D13_NIWO_C1_P1_v2,10,477
D13_NIWO_C1_P1_v2,15,273
D13_NIWO_C1_P1_v2,20,241
D13_NIWO_C1_P1_v2,25,242
D13_NIWO_C1_P1_v2,30,187
D13_NIWO_C1_P1_v2,35,191
D13_NIWO_C1_P1_v2,40,176
D13_NIWO_C1_P1_v2,45,109
D13_NIWO_C1_P1_v2,50,67
D13_NIWO_C1_P1_v2,55,23
D13_NIWO_C1_P1_v2,60,15
D13_NIWO_C1_P1_v2,65,15
D13_NIWO_C1_P1_v2,70,5
D13_NIWO_C1_P1_v2,75,0
D13_NIWO_C1_P1_v2,80,4
D13_NIWO_C1_P1_v2,85,0
D13_NIWO_C1_P1_v2,90,0
D13_NIWO_C1_P1_v2,95,0
D13_NIWO_C1_P1_v2,100,1
