site,imperv_class,imperv_freq
D14_SRER_C1_P1_v3,5,10086
D14_SRER_C1_P1_v3,10,848
D14_SRER_C1_P1_v3,15,452
D14_SRER_C1_P1_v3,20,274
D14_SRER_C1_P1_v3,25,149
D14_SRER_C1_P1_v3,30,98
D14_SRER_C1_P1_v3,35,146
D14_SRER_C1_P1_v3,40,86
D14_SRER_C1_P1_v3,45,90
D14_SRER_C1_P1_v3,50,81
D14_SRER_C1_P1_v3,55,60
D14_SRER_C1_P1_v3,60,39
D14_SRER_C1_P1_v3,65,37
D14_SRER_C1_P1_v3,70,20
D14_SRER_C1_P1_v3,75,13
D14_SRER_C1_P1_v3,80,6
D14_SRER_C1_P1_v3,85,12
D14_SRER_C1_P1_v3,90,1
D14_SRER_C1_P1_v3,95,2
D14_SRER_C1_P1_v3,100,10
