site,imperv_class,imperv_freq
D15_ONAQ_C1_P1_v2,5,1101
D15_ONAQ_C1_P1_v2,10,304
D15_ONAQ_C1_P1_v2,15,373
D15_ONAQ_C1_P1_v2,20,311
D15_ONAQ_C1_P1_v2,25,303
D15_ONAQ_C1_P1_v2,30,237
D15_ONAQ_C1_P1_v2,35,121
D15_ONAQ_C1_P1_v2,40,64
D15_ONAQ_C1_P1_v2,45,35
D15_ONAQ_C1_P1_v2,50,23
D15_ONAQ_C1_P1_v2,55,26
D15_ONAQ_C1_P1_v2,60,14
D15_ONAQ_C1_P1_v2,65,12
D15_ONAQ_C1_P1_v2,70,7
D15_ONAQ_C1_P1_v2,75,2
D15_ONAQ_C1_P1_v2,80,0
D15_ONAQ_C1_P1_v2,85,0
D15_ONAQ_C1_P1_v2,90,0
D15_ONAQ_C1_P1_v2,95,0
D15_ONAQ_C1_P1_v2,100,0
