site,imperv_class,imperv_freq
D16_ABBY_R2_P1_v1,5,9867
D16_ABBY_R2_P1_v1,10,1172
D16_ABBY_R2_P1_v1,15,720
D16_ABBY_R2_P1_v1,20,612
D16_ABBY_R2_P1_v1,25,367
D16_ABBY_R2_P1_v1,30,244
D16_ABBY_R2_P1_v1,35,90
D16_ABBY_R2_P1_v1,40,74
D16_ABBY_R2_P1_v1,45,48
D16_ABBY_R2_P1_v1,50,31
D16_ABBY_R2_P1_v1,55,15
D16_ABBY_R2_P1_v1,60,19
D16_ABBY_R2_P1_v1,65,14
D16_ABBY_R2_P1_v1,70,4
D16_ABBY_R2_P1_v1,75,7
D16_ABBY_R2_P1_v1,80,15
D16_ABBY_R2_P1_v1,85,22
D16_ABBY_R2_P1_v1,90,7
D16_ABBY_R2_P1_v1,95,8
D16_ABBY_R2_P1_v1,100,0
