site,imperv_class,imperv_freq
D16_WREF_C1_P1_v2,5,11700
D16_WREF_C1_P1_v2,10,578
D16_WREF_C1_P1_v2,15,1881
D16_WREF_C1_P1_v2,20,2834
D16_WREF_C1_P1_v2,25,2219
D16_WREF_C1_P1_v2,30,1507
D16_WREF_C1_P1_v2,35,809
D16_WREF_C1_P1_v2,40,353
D16_WREF_C1_P1_v2,45,170
D16_WREF_C1_P1_v2,50,63
D16_WREF_C1_P1_v2,55,25
D16_WREF_C1_P1_v2,60,23
D16_WREF_C1_P1_v2,65,26
D16_WREF_C1_P1_v2,70,19
D16_WREF_C1_P1_v2,75,12
D16_WREF_C1_P1_v2,80,3
D16_WREF_C1_P1_v2,85,6
D16_WREF_C1_P1_v2,90,9
D16_WREF_C1_P1_v2,95,5
D16_WREF_C1_P1_v2,100,11
