site,imperv_class,imperv_freq
D17_SJER_C1_P1_v2,5,5376
D17_SJER_C1_P1_v2,10,908
D17_SJER_C1_P1_v2,15,449
D17_SJER_C1_P1_v2,20,229
D17_SJER_C1_P1_v2,25,99
D17_SJER_C1_P1_v2,30,76
D17_SJER_C1_P1_v2,35,44
D17_SJER_C1_P1_v2,40,27
D17_SJER_C1_P1_v2,45,12
D17_SJER_C1_P1_v2,50,20
D17_SJER_C1_P1_v2,55,7
D17_SJER_C1_P1_v2,60,13
D17_SJER_C1_P1_v2,65,11
D17_SJER_C1_P1_v2,70,3
D17_SJER_C1_P1_v2,75,9
D17_SJER_C1_P1_v2,80,9
D17_SJER_C1_P1_v2,85,10
D17_SJER_C1_P1_v2,90,11
D17_SJER_C1_P1_v2,95,7
D17_SJER_C1_P1_v2,100,15
