site,imperv_class,imperv_freq
D17_SOAP_R1_P1_v2,5,11413
D17_SOAP_R1_P1_v2,10,519
D17_SOAP_R1_P1_v2,15,142
D17_SOAP_R1_P1_v2,20,61
D17_SOAP_R1_P1_v2,25,25
D17_SOAP_R1_P1_v2,30,8
D17_SOAP_R1_P1_v2,35,8
D17_SOAP_R1_P1_v2,40,0
D17_SOAP_R1_P1_v2,45,0
D17_SOAP_R1_P1_v2,50,3
D17_SOAP_R1_P1_v2,55,0
D17_SOAP_R1_P1_v2,60,0
D17_SOAP_R1_P1_v2,65,0
D17_SOAP_R1_P1_v2,70,2
D17_SOAP_R1_P1_v2,75,0
D17_SOAP_R1_P1_v2,80,0
D17_SOAP_R1_P1_v2,85,3
D17_SOAP_R1_P1_v2,90,0
D17_SOAP_R1_P1_v2,95,0
D17_SOAP_R1_P1_v2,100,0
