site,imperv_class,imperv_freq
D17_TEAK_R2_P1_v3,5,15490
D17_TEAK_R2_P1_v3,10,1024
D17_TEAK_R2_P1_v3,15,590
D17_TEAK_R2_P1_v3,20,447
D17_TEAK_R2_P1_v3,25,218
D17_TEAK_R2_P1_v3,30,131
D17_TEAK_R2_P1_v3,35,80
D17_TEAK_R2_P1_v3,40,45
D17_TEAK_R2_P1_v3,45,47
D17_TEAK_R2_P1_v3,50,55
D17_TEAK_R2_P1_v3,55,40
D17_TEAK_R2_P1_v3,60,19
D17_TEAK_R2_P1_v3,65,22
D17_TEAK_R2_P1_v3,70,27
D17_TEAK_R2_P1_v3,75,15
D17_TEAK_R2_P1_v3,80,11
D17_TEAK_R2_P1_v3,85,6
D17_TEAK_R2_P1_v3,90,6
D17_TEAK_R2_P1_v3,95,3
D17_TEAK_R2_P1_v3,100,0
