site,imperv_class,imperv_freq
D20_PUUM_C1_P1_v3,5,1113
D20_PUUM_C1_P1_v3,10,1782
D20_PUUM_C1_P1_v3,15,99
D20_PUUM_C1_P1_v3,20,85
D20_PUUM_C1_P1_v3,25,298
D20_PUUM_C1_P1_v3,30,52
D20_PUUM_C1_P1_v3,35,15
D20_PUUM_C1_P1_v3,40,25
D20_PUUM_C1_P1_v3,45,13
D20_PUUM_C1_P1_v3,50,11
D20_PUUM_C1_P1_v3,55,1
D20_PUUM_C1_P1_v3,60,6
D20_PUUM_C1_P1_v3,65,4
D20_PUUM_C1_P1_v3,70,4
D20_PUUM_C1_P1_v3,75,3
D20_PUUM_C1_P1_v3,80,3
D20_PUUM_C1_P1_v3,85,2
D20_PUUM_C1_P1_v3,90,2
D20_PUUM_C1_P1_v3,95,1
D20_PUUM_C1_P1_v3,100,1
